doi,publisher,contributor,title,description,creator,subject,rightsURI,publicationYear,format,descriptionType,relatedIdentifier,created,updated
10.5441/001/1.TC76G560,University of Konstanz,Movebank Data Repository,"Data from: Olfaction and topography, but not magnetic cues, control navigation in a pelagic seabird: displacements with shearwaters in the Mediterranean Sea","Pollonara E, Luschi P, Guilford T, Wikelski M, Bonadonna F, Gagliardo A (2015) Olfaction and topography, but not magnetic cues, control navigation in a pelagic seabird: displacements with shearwaters in the Mediterranean Sea. Scientific Reports. doi:10.1038/srep16486,Pelagic seabirds wander the open oceans then return accurately to their habitual nest-sites. We investigated the effects of sensory manipulation on oceanic navigation in Scopoli’s shearwaters (Calonectris diomedea) breeding at Pianosa island (Italy), by displacing them 400 km from their colony and tracking them. A recent experiment on Atlantic shearwaters (Cory’s shearwater, Calonectris borealis) breeding in the Azores indicated a crucial role of olfaction over the open ocean, but left open the question of whether birds might navigate by topographical landmark cues when available. Our experiment was conducted in the Mediterranean sea, where the availability of topographical cues may provide an alternative navigational mechanism for homing. Magnetically disturbed shearwaters and control birds oriented homeward even when the coast was not visible and rapidly homed. Anosmic shearwaters oriented in a direction significantly different from the home direction when in open sea. After having approached a coastline their flight path changed from convoluted to homeward oriented, so that most of them eventually reached home. Beside confirming that magnetic cues appear unimportant for oceanic navigation by seabirds, our results support the crucial role of olfactory cues for birds’ navigation and reveal that anosmic shearwaters are able to home eventually by following coastal features.","Pollonara, Enrica,Luschi, Paolo,Guilford, Tim,Wikelski, Martin,Bonadonna, Francesco,Gagliardo, Anna","animal tracking,Argos,Calonectris diomedea,magnetic map,Mediterranean Sea,navigation,olfaction,Pianosa Island,seabird,Scopoli’s shearwaters,visual landmarks",http://creativecommons.org/publicdomain/zero/1.0/,2015,csv,"Other,Abstract","HasPart:DOI:10.5441/001/1.tc76g560/1,HasPart:DOI:10.5441/001/1.tc76g560/2,HasPart:DOI:10.5441/001/1.tc76g560/3,IsSupplementTo:DOI:10.1038/srep16486",2015-10-27T19:25:24Z,2015-10-27T19:25:25Z
10.5441/001/1.TC76G560/1,University of Konstanz,Movebank Data Repository,Navigation in Scopoli's shearwaters (data from Pollonara et al. 2015)-argos,"Pollonara E, Luschi P, Guilford T, Wikelski M, Bonadonna F, Gagliardo A (2015) Olfaction and topography, but not magnetic cues, control navigation in a pelagic seabird: displacements with shearwaters in the Mediterranean Sea. Scientific Reports. doi:10.1038/srep16486,Pelagic seabirds wander the open oceans then return accurately to their habitual nest-sites. We investigated the effects of sensory manipulation on oceanic navigation in Scopoli’s shearwaters (Calonectris diomedea) breeding at Pianosa island (Italy), by displacing them 400 km from their colony and tracking them. A recent experiment on Atlantic shearwaters (Cory’s shearwater, Calonectris borealis) breeding in the Azores indicated a crucial role of olfaction over the open ocean, but left open the question of whether birds might navigate by topographical landmark cues when available. Our experiment was conducted in the Mediterranean sea, where the availability of topographical cues may provide an alternative navigational mechanism for homing. Magnetically disturbed shearwaters and control birds oriented homeward even when the coast was not visible and rapidly homed. Anosmic shearwaters oriented in a direction significantly different from the home direction when in open sea. After having approached a coastline their flight path changed from convoluted to homeward oriented, so that most of them eventually reached home. Beside confirming that magnetic cues appear unimportant for oceanic navigation by seabirds, our results support the crucial role of olfactory cues for birds’ navigation and reveal that anosmic shearwaters are able to home eventually by following coastal features.","Pollonara, Enrica,Luschi, Paolo,Guilford, Tim,Wikelski, Martin,Bonadonna, Francesco,Gagliardo, Anna","animal tracking,Argos,Calonectris diomedea,magnetic map,Mediterranean Sea,navigation,olfaction,Pianosa Island,seabird,Scopoli’s shearwaters,visual landmarks",http://creativecommons.org/publicdomain/zero/1.0/,2015,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.tc76g560,IsSupplementTo:DOI:10.1038/srep16486",2015-10-27T19:25:26Z,2015-10-27T19:25:27Z
10.5441/001/1.TC76G560/2,University of Konstanz,Movebank Data Repository,Navigation in Scopoli's shearwaters (data from Pollonara et al. 2015)-gps,"Pollonara E, Luschi P, Guilford T, Wikelski M, Bonadonna F, Gagliardo A (2015) Olfaction and topography, but not magnetic cues, control navigation in a pelagic seabird: displacements with shearwaters in the Mediterranean Sea. Scientific Reports. doi:10.1038/srep16486,Pelagic seabirds wander the open oceans then return accurately to their habitual nest-sites. We investigated the effects of sensory manipulation on oceanic navigation in Scopoli’s shearwaters (Calonectris diomedea) breeding at Pianosa island (Italy), by displacing them 400 km from their colony and tracking them. A recent experiment on Atlantic shearwaters (Cory’s shearwater, Calonectris borealis) breeding in the Azores indicated a crucial role of olfaction over the open ocean, but left open the question of whether birds might navigate by topographical landmark cues when available. Our experiment was conducted in the Mediterranean sea, where the availability of topographical cues may provide an alternative navigational mechanism for homing. Magnetically disturbed shearwaters and control birds oriented homeward even when the coast was not visible and rapidly homed. Anosmic shearwaters oriented in a direction significantly different from the home direction when in open sea. After having approached a coastline their flight path changed from convoluted to homeward oriented, so that most of them eventually reached home. Beside confirming that magnetic cues appear unimportant for oceanic navigation by seabirds, our results support the crucial role of olfactory cues for birds’ navigation and reveal that anosmic shearwaters are able to home eventually by following coastal features.","Pollonara, Enrica,Luschi, Paolo,Guilford, Tim,Wikelski, Martin,Bonadonna, Francesco,Gagliardo, Anna","animal tracking,Argos,Calonectris diomedea,magnetic map,Mediterranean Sea,navigation,olfaction,Pianosa Island,seabird,Scopoli’s shearwaters,visual landmarks",http://creativecommons.org/publicdomain/zero/1.0/,2015,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.tc76g560,IsSupplementTo:DOI:10.1038/srep16486",2015-10-27T19:25:28Z,2015-10-27T19:25:29Z
10.5441/001/1.TC76G560/3,University of Konstanz,Movebank Data Repository,Navigation in Scopoli's shearwaters (data from Pollonara et al. 2015)-reference-data,"Pollonara E, Luschi P, Guilford T, Wikelski M, Bonadonna F, Gagliardo A (2015) Olfaction and topography, but not magnetic cues, control navigation in a pelagic seabird: displacements with shearwaters in the Mediterranean Sea. Scientific Reports. doi:10.1038/srep16486,Pelagic seabirds wander the open oceans then return accurately to their habitual nest-sites. We investigated the effects of sensory manipulation on oceanic navigation in Scopoli’s shearwaters (Calonectris diomedea) breeding at Pianosa island (Italy), by displacing them 400 km from their colony and tracking them. A recent experiment on Atlantic shearwaters (Cory’s shearwater, Calonectris borealis) breeding in the Azores indicated a crucial role of olfaction over the open ocean, but left open the question of whether birds might navigate by topographical landmark cues when available. Our experiment was conducted in the Mediterranean sea, where the availability of topographical cues may provide an alternative navigational mechanism for homing. Magnetically disturbed shearwaters and control birds oriented homeward even when the coast was not visible and rapidly homed. Anosmic shearwaters oriented in a direction significantly different from the home direction when in open sea. After having approached a coastline their flight path changed from convoluted to homeward oriented, so that most of them eventually reached home. Beside confirming that magnetic cues appear unimportant for oceanic navigation by seabirds, our results support the crucial role of olfactory cues for birds’ navigation and reveal that anosmic shearwaters are able to home eventually by following coastal features.","Pollonara, Enrica,Luschi, Paolo,Guilford, Tim,Wikelski, Martin,Bonadonna, Francesco,Gagliardo, Anna","animal tracking,Argos,Calonectris diomedea,magnetic map,Mediterranean Sea,navigation,olfaction,Pianosa Island,seabird,Scopoli’s shearwaters,visual landmarks",http://creativecommons.org/publicdomain/zero/1.0/,2015,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.tc76g560,IsSupplementTo:DOI:10.1038/srep16486",2015-10-27T19:25:30Z,2015-10-27T19:25:30Z
10.5441/001/1.33159H1H,University of Konstanz,Movebank Data Repository,Data from: Temporal and contextual consistency of leadership in homing pigeon flocks,"Santos CD, Neupert S, Lipp H-P, Wikelski M, Dechmann D (2014) Temporal and contextual consistency of leadership in homing pigeon flocks. PLOS ONE 9(7): e102771. doi:10.1371/journal.pone.0102771,Organized flight of homing pigeons (Columba livia) was previously shown to rely on simple leadership rules between flock mates, yet the stability of this social structuring over time and across different contexts remains unclear. We quantified the repeatability of leadership-based flock structures within a flight and across multiple flights conducted with the same animals. We compared two contexts of flock composition: flocks of birds of the same age and flight experience; and, flocks of birds of different ages and flight experience. All flocks displayed consistent leadership-based structures over time, showing that individuals have stable roles in the navigational decisions of the flock. However, flocks of balanced age and flight experience exhibited reduced leadership stability, indicating that these factors promote flock structuring. Our study empirically demonstrates that leadership and followership are consistent behaviours in homing pigeon flocks, but such consistency is affected by the heterogeneity of individual flight experiences and/or age. Similar evidence from other species suggests leadership as an important mechanism for coordinated motion in small groups of animals with strong social bonds.","Santos, Carlos David,Neupert, Stefanie,Lipp, Hans-Peter,Wikelski, Martin,Dechmann, Dina","animal movement,animal navigation,collective motion,Columba livia,homing pigeon,social navigation",http://creativecommons.org/publicdomain/zero/1.0/,2014,csv,"Other,Abstract","HasPart:DOI:10.5441/001/1.33159h1h/1,HasPart:DOI:10.5441/001/1.33159h1h/2,IsSupplementTo:DOI:10.1371/journal.pone.0102771",2014-07-31T16:56:08Z,2014-07-31T16:56:09Z
10.5441/001/1.33159H1H/1,University of Konstanz,Movebank Data Repository,Leadership in homing pigeon flocks (Columba livia) (data from Santos et al. 2014),"Santos CD, Neupert S, Lipp H-P, Wikelski M, Dechmann D (2014) Temporal and contextual consistency of leadership in homing pigeon flocks. PLOS ONE 9(7): e102771. doi:10.1371/journal.pone.0102771,Organized flight of homing pigeons (Columba livia) was previously shown to rely on simple leadership rules between flock mates, yet the stability of this social structuring over time and across different contexts remains unclear. We quantified the repeatability of leadership-based flock structures within a flight and across multiple flights conducted with the same animals. We compared two contexts of flock composition: flocks of birds of the same age and flight experience; and, flocks of birds of different ages and flight experience. All flocks displayed consistent leadership-based structures over time, showing that individuals have stable roles in the navigational decisions of the flock. However, flocks of balanced age and flight experience exhibited reduced leadership stability, indicating that these factors promote flock structuring. Our study empirically demonstrates that leadership and followership are consistent behaviours in homing pigeon flocks, but such consistency is affected by the heterogeneity of individual flight experiences and/or age. Similar evidence from other species suggests leadership as an important mechanism for coordinated motion in small groups of animals with strong social bonds.","Santos, Carlos David,Neupert, Stefanie,Lipp, Hans-Peter,Wikelski, Martin,Dechmann, Dina","animal movement,animal navigation,collective motion,Columba livia,homing pigeon,social navigation",http://creativecommons.org/publicdomain/zero/1.0/,2014,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.33159h1h,IsSupplementTo:DOI:10.1371/journal.pone.0102771",2014-07-31T16:56:10Z,2014-07-31T16:56:11Z
10.5441/001/1.33159H1H/2,University of Konstanz,Movebank Data Repository,Leadership in homing pigeon flocks (Columba livia) (data from Santos et al. 2014)-reference-data,"Santos CD, Neupert S, Lipp H-P, Wikelski M, Dechmann D (2014) Temporal and contextual consistency of leadership in homing pigeon flocks. PLOS ONE 9(7): e102771. doi:10.1371/journal.pone.0102771,Organized flight of homing pigeons (Columba livia) was previously shown to rely on simple leadership rules between flock mates, yet the stability of this social structuring over time and across different contexts remains unclear. We quantified the repeatability of leadership-based flock structures within a flight and across multiple flights conducted with the same animals. We compared two contexts of flock composition: flocks of birds of the same age and flight experience; and, flocks of birds of different ages and flight experience. All flocks displayed consistent leadership-based structures over time, showing that individuals have stable roles in the navigational decisions of the flock. However, flocks of balanced age and flight experience exhibited reduced leadership stability, indicating that these factors promote flock structuring. Our study empirically demonstrates that leadership and followership are consistent behaviours in homing pigeon flocks, but such consistency is affected by the heterogeneity of individual flight experiences and/or age. Similar evidence from other species suggests leadership as an important mechanism for coordinated motion in small groups of animals with strong social bonds.","Santos, Carlos David,Neupert, Stefanie,Lipp, Hans-Peter,Wikelski, Martin,Dechmann, Dina","animal movement,animal navigation,collective motion,Columba livia,homing pigeon,social navigation",http://creativecommons.org/publicdomain/zero/1.0/,2014,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.33159h1h,IsSupplementTo:DOI:10.1371/journal.pone.0102771",2014-07-31T16:56:11Z,2014-07-31T16:56:12Z
10.5441/001/1.FH860R2F,University of Konstanz,Movebank Data Repository,"Data from: Evidence for pre-mnemonic, perceptual neglect of environmental features in hippocampal lesioned pigeons during homing","Gagliardo A, Pollonara E, Coppola VJ, Santos CD, Wikelski M, Bingman VP (2014) Evidence for pre-mnemonic, perceptual neglect of environmental features in hippocampal lesioned pigeons during homing. European Journal of Neuroscience. doi:10.1111/ejn.12680,The importance of the vertebrate hippocampus in spatial cognition is often related to its broad role in memory. However, in birds, the hippocampus appears to be more specifically involved in spatial processes. The maturing of GPS-tracking technology has enabled a revolution in navigation research, including the expanded possibility of studying brain mechanisms that guide navigation in the field. By GPS-tracking homing pigeons released from distant, unfamiliar sites prior to and after hippocampal lesion, we observed, as has been reported previously, impaired navigational performance postlesion over the familiar/memorized space near the home loft, where topographic features constitute an important source of navigational information. The GPS-tracking revealed that many of the lost pigeons, when lesioned, approached the home area, but nevertheless failed to locate their loft. Unexpectedly, when they were hippocampal-lesioned, the pigeons showed a notable change in their behaviour when navigating over the unfamiliar space distant from home; they actually flew straighter homeward-directed paths than they did prelesion. The data are consistent with the hypothesis that, following hippocampal lesion, homing pigeons respond less to unfamiliar visual, topographic features encountered during homing, and, as such, offer the first evidence for an unforeseen, perceptual neglect of environmental features following hippocampal damage.","Gagliardo, Anna,Pollonara, Enrica,Coppola, Vincent J,Santos, Carlos D,Wikelski, Martin,Bingman, Verner P","animal navigation,animal tracking,Columba livia,hippocampus,homing pigeon,navigation,spatial behaviour,spatial cognition",http://creativecommons.org/publicdomain/zero/1.0/,2014,csv,"Other,Abstract","HasPart:DOI:10.5441/001/1.fh860r2f/1,HasPart:DOI:10.5441/001/1.fh860r2f/2,IsSupplementTo:DOI:10.1111/ejn.12680",2014-07-31T19:59:06Z,2014-08-13T12:59:35Z
10.5441/001/1.FH860R2F/1,University of Konstanz,Movebank Data Repository,Navigation in homing pigeons (Columba livia) (data from Gagliardo et al. 2014),"Gagliardo A, Pollonara E, Coppola VJ, Santos CD, Wikelski M, Bingman VP (2014) Evidence for pre-mnemonic, perceptual neglect of environmental features in hippocampal lesioned pigeons during homing. European Journal of Neuroscience. doi: 10.1111/ejn.12680,The importance of the vertebrate hippocampus in spatial cognition is often related to its broad role in memory. However, in birds, the hippocampus appears to be more specifically involved in spatial processes. The maturing of GPS-tracking technology has enabled a revolution in navigation research, including the expanded possibility of studying brain mechanisms that guide navigation in the field. By GPS-tracking homing pigeons released from distant, unfamiliar sites prior to and after hippocampal lesion, we observed, as has been reported previously, impaired navigational performance postlesion over the familiar/memorized space near the home loft, where topographic features constitute an important source of navigational information. The GPS-tracking revealed that many of the lost pigeons, when lesioned, approached the home area, but nevertheless failed to locate their loft. Unexpectedly, when they were hippocampal-lesioned, the pigeons showed a notable change in their behaviour when navigating over the unfamiliar space distant from home; they actually flew straighter homeward-directed paths than they did prelesion. The data are consistent with the hypothesis that, following hippocampal lesion, homing pigeons respond less to unfamiliar visual, topographic features encountered during homing, and, as such, offer the first evidence for an unforeseen, perceptual neglect of environmental features following hippocampal damage.","Gagliardo, Anna,Pollonara, Enrica,Coppola, Vincent J,Santos, Carlos D,Wikelski, Martin,Bingman, Verner P","animal navigation,animal tracking,Columba livia,hippocampus,homing pigeon,navigation,spatial behaviour,spatial cognition",http://creativecommons.org/publicdomain/zero/1.0/,2014,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.fh860r2f,IsSupplementTo:DOI:10.1111/ejn.12680",2014-07-31T19:59:08Z,2014-07-31T19:59:08Z
10.5441/001/1.FH860R2F/2,University of Konstanz,Movebank Data Repository,Navigation in homing pigeons (Columba livia) (data from Gagliardo et al. 2014)-reference-data,"Gagliardo A, Pollonara E, Coppola VJ, Santos CD, Wikelski M, Bingman VP (2014) Evidence for pre-mnemonic, perceptual neglect of environmental features in hippocampal lesioned pigeons during homing. European Journal of Neuroscience. doi:10.1111/ejn.12680,The importance of the vertebrate hippocampus in spatial cognition is often related to its broad role in memory. However, in birds, the hippocampus appears to be more specifically involved in spatial processes. The maturing of GPS-tracking technology has enabled a revolution in navigation research, including the expanded possibility of studying brain mechanisms that guide navigation in the field. By GPS-tracking homing pigeons released from distant, unfamiliar sites prior to and after hippocampal lesion, we observed, as has been reported previously, impaired navigational performance postlesion over the familiar/memorized space near the home loft, where topographic features constitute an important source of navigational information. The GPS-tracking revealed that many of the lost pigeons, when lesioned, approached the home area, but nevertheless failed to locate their loft. Unexpectedly, when they were hippocampal-lesioned, the pigeons showed a notable change in their behaviour when navigating over the unfamiliar space distant from home; they actually flew straighter homeward-directed paths than they did prelesion. The data are consistent with the hypothesis that, following hippocampal lesion, homing pigeons respond less to unfamiliar visual, topographic features encountered during homing, and, as such, offer the first evidence for an unforeseen, perceptual neglect of environmental features following hippocampal damage.","Gagliardo, Anna,Pollonara, Enrica,Coppola, Vincent J,Santos, Carlos D,Wikelski, Martin,Bingman, Verner P","animal navigation,animal tracking,Columba livia,hippocampus,homing pigeon,navigation,spatial behaviour,spatial cognition",http://creativecommons.org/publicdomain/zero/1.0/,2014,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.fh860r2f,IsSupplementTo:DOI:10.1111/ejn.12680",2014-07-31T19:59:09Z,2014-07-31T19:59:10Z
